column,cramersvalue
NumVar33,0.049259239130229025
NumVar22,0.10033078804112322
NumVar10,0.19931595554738646
NumVar30,0.16145494132804647
NumVar35,0.03593734530464887
NumVar36,0.13363795980018642
NumVar19,0.03750009671989461
NumVar27,0.12701152154363463
NumVar38,0.07374024055111286
NumVar11,0.22740430283745952
NumVar12,0.07852867637991351
NumVar4,0.06932087769334237
NumVar18,0.0
NumVar1,0.20209904978215482
NumVar13,0.17770416519497886
NumVar8,0.05124249343380789
NumVar15,0.18761387426721393
NumVar21,0.002163376983836396
NumVar14,0.003616223736646116
NumVar7,0.2199471435027641
NumVar32,0.08575726205984215
NumVar3,0.10645188840715944
NumVar26,0.2525919435837165
NumVar9,0.08385517473213838
NumVar31,0.24507422715669755
NumVar6,0.2828965482272472
NumVar2,0.08764262205206216
NumVar24,0.2580985475602955
NumVar28,0.2758498941788754
NumVar20,0.27901369372909474
NumVar23,0.1972782330685705
NumVar39,0.20637595481348134
NumVar37,0.24796202263708275
